,artists
638,'Gisela Burkhardt']
639,'Berlin Runfunk Synphonie Orchester'
640,'Gisela Burkhardt'
641,'Stefan Lisewski']
642,'Berlin Rundfunk Symphonie Orchester'
643,'Max Pommer']
644,['T La Rock']
645,['The Guess Who']
646,"[""Kassav'""]"
647,['Sonny Fortune']
648,['Brad Goode']
649,['Marcial Alejandro']
650,['Óscar Chávez'
651,'Marcial Alejandro']
652,['Al B. Sure!']
653,['Al B. Sure!'
654,'Roey Shamir']
655,['Jean-Philippe Rameau'
656,'Trevor Pinnock']
657,['Soda Stereo']
658,['Thomas de Hartmann'
659,'G. I. Gurdjieff'
660,'Cecil Lytle']
661,['Lita Ford']
662,['Lita Ford'
663,'Ozzy Osbourne']
664,['Angus Fitchet']
665,['The Lothian Scottish Dance Band']
666,['The Scottish Fiddle Orchestra']
667,['Sandy Coghill']
668,['The Wick Scottish Dance Band']
669,['Ian Powrie']
670,['Bert Shorthouse']
671,['J.J. Fad']
672,['Lonnie Brooks']
673,['Sergei Prokofiev'
674,'Esa-Pekka Salonen']
675,['Arnold Schoenberg'
676,'Dresdner Philharmonie'
677,'Herbert Kegel'
678,'Leipzig Radio Symphony Orchestra']
679,'Leipzig Radio Symphony Orchestra'
680,'Manfred Jung']
681,'Eva-Maria Bundschuh'
682,'Ulrik Cold'
683,'MDR Leipzig Radio Chorus'
684,'Prague Male Chorus']
685,'Wolf Appel']
686,'Gert Westphal'
687,['Pink Floyd']
688,['Los Lobos']
689,['The Country Gentlemen']
690,['Joan Jett & The Blackhearts']
691,['Youth Of Today']
692,['George Crumb'
693,'Jeffrey Jacob']
694,['John Carpenter'
695,'Alan Howarth']
696,['Into The Woods (Original Broadway Cast)']
697,['Kim Crosby'
698,'Merle Louise']
699,['Robert Westenberg'
700,'Danielle Ferland']
701,['Ben Wright'
702,'Joanna Gleason'
703,'Chip Zien']
704,['Danielle Ferland']
705,'Into the Woods Ensemble'
706,'Kim Crosby'
707,'Original Broadway Cast of Into the Woods Ensemble']
708,'Chuck Wagner']
709,['Joanna Gleason'
710,['Bernadette Peters'
711,'Pamela Winslow']
712,['Kim Crosby']
713,['Tom Aldredge'
714,['Bernadette Peters']
715,'Robert Westenberg']
716,'Chip Zien'
717,'Ben Wright'
718,'Danielle Ferland'
719,'Kim Crosby']
720,['Chip Zien'
721,'Tom Aldredge']
722,['John Cameron Mitchell']
723,['Maureen Moore']
724,['Jerry Goldsmith']
725,['Matt Johnson']
726,'Johannes Wildner']
727,'Kodály Quartet']
728,'Silvano Carroli'
729,'Nelly Miricioiu'
730,'Alexander Rahbari']
731,'Concentus Hungaricus'
732,['Franz Joseph Haydn'
733,'Slovak Philharmonic Chorus'
734,'Oliver von Dohnanyi']
735,['Metallica']
736,['Ennio Morricone']
737,'The Lydian String Quartet']
738,'Franz Liszt'
739,['César Cui'
740,['Gustave Charpentier'
741,'Luigi Denza'
742,['The Boo Radleys']
743,['Toad The Wet Sprocket']
744,['Soul Asylum']
745,['Chris Whitley']
746,['Big Audio Dynamite'
747,'Mark Plati']
748,['Mike Myers']
749,"[""Ned's Atomic Dustbin""]"
750,['The Darling Buds'
751,'Michael Brauer']
752,['Spin Doctors']
753,['Suede']
754,['SUN 60']
755,"[""The La's""]"
756,['Thompson Twins']
757,'Virgil Fox']
758,['MC Lyte']
759,['Conjunto Clásico'
760,'Johnny Rivera']
761,['Sarah Vaughan']
762,['Sarah Vaughan'
763,'Percy Faith & His Orchestra']
764,['AC/DC']
765,['GG Allin']
766,['Roger Whittaker']
767,['Omen']
768,['Os Resentidos']
769,['Loquillo Y Los Trogloditas']
770,['Santana']
771,'Jost Michaels'
772,'Endres Quartet']
773,'Westphalian Symphony Orchestra'
774,'Hubert Reichert']
775,['Crimpshrine']
776,['Cheap Trick']
777,['DJ Jazzy Jeff & The Fresh Prince']
778,['葉歡'
779,'陳秀男'
780,'Ye Chui Qing']
781,'葉垂青']
782,['葉歡']
783,'Claus Peter Flor']
784,'Claus Peter Flor'
785,'Bamberg Symphony']
786,['Masayuki Koga']
787,['Screamer']
788,['Ozzy Osbourne']
789,['Richard Wagner'
790,'Douglas Haislip'
791,'Solid Brass']
792,'Carl Della Peruti'
793,['Henry Purcell'
794,'David Sampson'
795,'Elizabeth Di Savino'
796,'Lynne Dawson'
797,'Ian Partridge'
798,'Michael George'
799,'Julie Miller'
800,'Valerie Darke'
801,'The Sixteen'
802,'Harry Christophers']
803,['Orison']
804,['Def IV']
805,['Boy Meets Girl']
806,['Chilliwack']
807,['X']
808,['Eddy Arnold']
809,['Betty Wright']
810,['Winger']
811,['Sadus']
812,['Christopher Cross']
813,['Nacha Guevara']
814,['Chaitanya Hari Deuter'
815,'Adi Pieper']
816,['The Ray Conniff Singers']
817,['Teddy Wilson']
818,['Nikhil Banerjee']
819,['Wehrmacht']
820,['Dave Wong']
821,['Dave Wong'
822,'葉歡']
823,['Steve Roach']
824,['Laura Nyro'
825,'LaBelle']
826,['曲祐良']
827,['The Fall']
828,['Iron Cross']
829,['Blue Öyster Cult']
830,['Surface']
831,['Surface'
832,'David Conley']
833,['Michael Hayes']
834,['鄭怡']
835,['Momus']
836,['Jennifer Warnes']
837,['M.C. Luscious']
838,['Taylor Dayne']
839,['Taylor Dayne'
840,'Ric Wake'
841,'Richie Jones']
842,['Karla Bonoff']
843,['Fleetwood Mac']
844,['Al Jarreau']
845,['Dokken']
846,['Marie Osmond']
847,['Marie Osmond'
848,'Paul Davis']
849,['Stardust Revue']
850,['The Pointer Sisters']
851,['Van Halen']
852,['Ratt']
853,['Nelly Omar']
854,['George Benson']
855,['Boz Scaggs']
856,['Elizabeth Rasmussen & Gretchen Marlow']
857,['Gretchen Marlow']
858,['Sade']
859,['David Lee Roth']
860,['Radio Luxembourg Symphony Orchestra']
861,['Krishna Prema Das']
862,['The Swirling Eddies']
863,['Tom Browne']
864,['Rick James']
865,['Britny Fox']
866,['Cryptic Slaughter']
867,['Kix']
868,['Ron Geesin']
869,['Bette Midler']
870,['Bette Midler'
871,'David Pack']
872,'Ferruccio Busoni'
873,'Peter Rösel']
874,['Charlotte Diamond']
875,['Alasdair Fraser & Jody Stecher']
876,['Mannheim Steamroller']
877,['Prefab Sprout']
878,['The Pogues'
879,'Kirsty MacColl']
880,['Katie Webster']
881,['Will Ackerman']
882,['Stop the Car']
883,['Rage Against The Machine']
884,['Kate Campbell']
885,['Ani DiFranco']
886,['Westlife']
887,['Pure Prairie League']
888,['Tribes Of Neurot']
889,['Plumb']
890,['The Magnetic Fields']
891,['Matthew Sweet']
892,['Marc Anthony']
893,['Tim McGraw']
894,['Ben Folds Five']
895,['Sahara Hotnights']
896,'Daniel Barenboim']
897,'Daniel Barenboim'
898,'London Philharmonic Orchestra']
899,['Kim And Reggie Harris'
900,'Magpie']
901,['Badly Drawn Boy']
902,['Badly Drawn Boy'
903,'Andy Votel']
904,['Hank Williams
905,['London Elektricity']
906,['London Elektricity'
907,'Jon Forté']
908,['Derek Sherinian'
909,'Brett Garsed'
910,'Tony Franklin'
911,'Virgil Donati']
912,['Will Smith'
913,'Traknox']
914,'K-Ci']
915,['Will Smith']
916,"""Lil' Kim""]"
917,'Tatyana Ali'
918,'MC Lyte']
919,'Dru Hill'
920,'Kool Moe Dee']
921,'Biz Markie'
922,'Slick Rick']
923,['DJ Jazzy Jeff & The Fresh Prince'
924,'Will Smith']
925,'Eve']
926,'Breeze']
927,'Kel Spencer']
928,'Jill Scott']
929,['Dune']
930,'Silke-Thora Matthies'
931,'Christian Kohn']
932,'Christian Kohn'
933,'Silke-Thora Matthies']
934,['Nobukazu Takemura']
935,['Pearl Jam']
936,['Alanis Morissette']
937,['Neil Young']
938,['Korn']
939,['Black Sabbath']
940,['Bush']
941,['Oasis']
942,['Sarah McLachlan']
943,['Indigo Girls']
944,['The Wallflowers']
945,['Jamiroquai']
946,['Tori Amos']
947,['Peter Gabriel']
948,['Basement Jaxx']
949,['Cosmicity']
950,['19th Hole']
951,['Colin James']
952,['Macy Gray']
953,['DJ Mayonnaise'
954,'DJ Signify']
955,['Deep Puddle Dynamics']
956,['Buck 65']
957,['DJ Signify']
958,['Slug'
959,'Eyedea'
960,'Sole']
961,['Adam Drucker']
962,['Alias']
963,['Sole'
964,'Doseone']
965,['Mr. Skurge']
966,['Slug']
967,'Moodswing9']
968,['Sixtoo']
969,['DJ Signify'
970,'DJ Mayonnaise']
971,['Buck'
972,'Sole'
973,'Circus'
974,'Sixtoo']
975,['Pedestrian']
976,['Van Morrison']
977,['The Clash']
978,['Johnny Thunders']
979,['UB40']
980,['Martha Reeves & The Vandellas']
981,['The Marvelettes']
982,['The Cellos']
983,['The Melodians']
984,['Big Brother & The Holding Company']
985,['The Who']
986,['Little Milton']
987,['Tom and Chris Kastle']
988,['Yvonne']
989,"[""Pickin' On Series""]"
990,['Six by Seven']
991,['Diary Of Dreams']
992,'Arthur Rubinstein'
993,'Jascha Heifetz'
994,'Emanuel Feuermann']
995,'Arthur Rubinstein']
996,['Milestone']
997,'Vladimir Golschmann'
998,'NBC Symphony Orchestra']
999,'Vladimir Golschmann']
1000,'Dimitri Mitropoulos']
1001,'Alfred Wallenstein'
1002,'Los Angeles Philharmonic']
1003,'William Steinberg']
1004,'Charles Münch']
1005,'Antal Doráti']
1006,'Antal Doráti'
1007,['The Smithereens']
1008,['Silverchair']
1009,['Crash Test Dummies']
1010,['Crash Test Dummies'
1011,'Ellen Reid']
1012,['Lali Puna']
1013,['Gaye Adegbalola']
1014,['Stephen Bennett']
1015,['The Durutti Column']
1016,['Yellowcard']
1017,['LFO']
1018,['LFO'
1019,'Stargate']
1020,['Kane']
1021,['DJ unknown face']
1022,['Dead Calm']
1023,['The Ballistic Brothers']
1024,['Omni Trio']
1025,['PFM']
1026,['Skanna']
1027,['Count Basic']
1028,['Hunch']
1029,['Space Link']
1030,['Earl Grey']
1031,['Donna Summer']
1032,['Donna Summer'
1033,'Tina Arena']
1034,['Bebo Norman']
1035,['No Doubt']
1036,['The Urge']
1037,['Ice Cube'
1038,'Mack 10']
1039,['Rancid']
1040,['Third Eye Blind']
1041,['The Mighty Mighty Bosstones']
1042,['311']
1043,['The Afghan Whigs']
1044,['Cracker']
1045,['Moby'
1046,'Heather Nova']
1047,['Blackalicious']
1048,['Natalie MacMaster']
1049,['Big Star']
1050,['Hate Dept.']
1051,['Mice Parade']
1052,['Cuba']
